Video ID,Comment id,Comment creation time,Comment number of likes,Comment content,Replies,Video title,Video channel,Video creation time,Video number of views
5GWhwUN9iaY,UgzdOJjfzkiFzIWia054AaABAg,2020-09-30T18:23:38Z,0,my special teacher she a STEM teacher is my cousin and won’t stop calling me to answer questions bruh,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,Ugx05ntR26pXJ6BTXvV4AaABAg,2024-03-30T07:45:08Z,0,"Suajajja 
Tahahaj
Ejajaak
Akakakak
Makakkla",,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgyUjF2v9L_l_0xRLkJ4AaABAg,2020-04-29T19:19:11Z,4,Education Without Art is just time lossing,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgzMG4BfY1rDRhkyCRp4AaABAg,2021-04-05T10:01:07Z,0,LOL the narrator is reading a piece of paper xD,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgytwtKNXih435Xg2ot4AaABAg,2023-06-11T16:34:00Z,0,"Wow , so none of what we can get ...",,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgwJJCkMvlOqzQaHIHF4AaABAg,2018-09-04T16:11:28Z,0,Stem pa,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgyoPzdZcr1tx2_DNnB4AaABAg,2020-07-23T01:52:36Z,1,who got forced to come here by school?,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgxmYGcfv5KOus95q7Z4AaABAg,2021-02-11T15:11:41Z,0,"Who declared that for society to be “fair” everythang must be distributed per the demographic? 
If I were a woman who could leverage my gender, I would not waste that on STEM where three days a week are spent in mind and butt numbing project, budget and schedule status meetings, where creativity is stifled by risk averse managers who fear looking bad and career advancement is found kissing up the big dogs after work in fern bars and Saturday morning golf games.
STEM is Dilbert and Caddy Shack. 
Who would choose that if there were another way?",,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgiyDf3Wn8echXgCoAEC,2016-12-28T20:32:53Z,14,"Hah!  I have a STEM education.  There are no jobs!  This ""you need a STEM education"" bologna that's being repeated constantly is just that: bologna.  I did very well in school, have much industry experience, and there are no jobs, any more!  Getting a STEM education will simply make a student just that much worse off.  Why?  Because the STEM educated are too expensive too hire in America, now, while at the same time the education is expensive.  Americans still desire to be paid for their labor.  The key is to keep the Americans buying while at the same time removing their employment possibilities little by little, like the proverbial frog in the frying pan.  I for one am sick of hearing this STEM education bologna.  I'm here to tell you, America, it's a lie, and a big one!","['STEM is a response to the skills gap. Unfortunately, Science teachers are ruining it', 'You cannot find a job because you vote for democrats, who are communist and they stiffle the private sector.  Stop voting for democrats and jobs will appear magically if from out of the sky.', 'You have a degree in STEM...But which field? Engineering, Math...etc', ""@@RogerCharlesCourtney lol you Muricans have Trump now and still can't find a job :^"", '@@hio7019 our government is a joke']",STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgxDF9XOu998YkxE_xx4AaABAg,2020-07-24T05:57:43Z,0,why only USA why not the entire earth get this type of eduction,['Because the rest of the earth knows better.'],STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,Ugio5lkLYFlh9ngCoAEC,2017-01-25T21:49:54Z,0,No not true yes some thing are true,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgwqHQ5XxVYCpNfHbPR4AaABAg,2020-07-15T04:02:08Z,0,BBHCSD sounds like a disorder #pen15,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgwXt2aYNJ5-Uf49RRx4AaABAg,2022-07-12T04:18:10Z,0,Who is here from devon erickson,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgwvK7pna_pjG2Y6uhZ4AaABAg,2020-10-16T13:33:23Z,0,Who’s all here because of school,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,Ugjqm-i7fg16GngCoAEC,2016-02-14T17:04:23Z,6,i rather do homec then stem,['Nothing wrong with that babe'],STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,Ugy1mEYBWu0tfuBLWd14AaABAg,2018-06-30T12:51:12Z,2,The Evil within tecnology,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,Ugy3rd0zIo2mJHquTLl4AaABAg,2019-06-23T14:54:58Z,2,Great way to confuse kids.,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UghZntKEi_ljzHgCoAEC,2016-11-09T22:27:58Z,2,"#HATE 
COMMENTS",,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgwyBDL2w-JpnRJw_yl4AaABAg,2020-04-27T21:26:23Z,1,So thats why the education system is broken.,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgyQYux333uS_k6pta94AaABAg,2022-01-28T20:45:06Z,0,i need to go to the stem school. The regular high school is run over with drugs and violence… stem school is literally my only way to survive,"[""You don't need stem if you have a library card.""]",STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,Ugy8EN_lHjCrfMPTCjZ4AaABAg,2019-01-01T04:59:40Z,0,Z,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgwawZB7V8Uo56x93GB4AaABAg,2018-09-20T06:01:55Z,2,"I hate STEM students with a burning passion :,)","['Karol Reyes why!??', 'you aight?']",STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgwclUGtvOB9WhPJ5814AaABAg,2021-01-23T18:59:12Z,0,Sugar daddy training education of money,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgzAjAkIaeMZYlWgGiR4AaABAg,2023-09-27T22:38:03Z,0,what??? are you lost in other dimension? YOU ignore Engineering...,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
C48oHf1TOcg,UgyJ_LmYRL3XNU-4Y7V4AaABAg,2022-11-19T23:39:28Z,2,"Interested in incorporating STEAM education at your School or Home? Join the growing community of STEAM education enthusiasts that are changing the world! 

Schedule a free virtual meeting: https://steamspirations.com/steam-tra...

Join a blog for educators on STEAM education and what is trending in the classroom: https://steamspirations.com/blog/

Check out our Home-Based, Standardized, and STEAM Curriculum options: https://steamspirations.com/curriculum/

Review our wide range of products covering different educational needs: https://steamspirations.com/product-c...


We are part of the Allied State Cooperative and awarded vendors in the state of Texas. We would like to partner with any school district or school that is interested in increasing scores on standardized tests and growing as a STEM school.

🎬CHECK OUT MORE OF OUR VIDEOS:

      Learn Place Value With STEAMspirations:
         https://youtu.be/yJ_Mo2CkYgo

      Solubility & Mass- Classifying Matter:
        https://youtu.be/zP6TWNEbCRE

      Ordering Numbers- How do we use Place Value to Order Numbers?
        https://youtu.be/snefP6XZXEE

Make sure to leave your comments, opinions, and /or recommendation for future videos. We would love to hear your opinions. Comment down below.✅


☀Relevant Hashtags:
#steam #steameducation #education #steamspire #stem #steamspired #steamspirations #learn #stemeducation",,What is STEAM Education? A STEAMspired approach to STEAM!,STEAMspirations,2020-05-26T20:34:20Z,98193
C48oHf1TOcg,UgyH-gXbPVSnkhN87vN4AaABAg,2024-03-25T13:24:51Z,1,Excellent 😊,,What is STEAM Education? A STEAMspired approach to STEAM!,STEAMspirations,2020-05-26T20:34:20Z,98193
C48oHf1TOcg,Ugx2R0BS_ZhgjmxPkwF4AaABAg,2021-10-10T23:57:42Z,4,This is a great way to explain a STEAM education!  May I use this video to share with my students/parents?,['Hi Rosalyn! Please feel free to use any of our content for education purposes. Also feel free to check out our channel. We post multiple videos weekly! Thank you.'],What is STEAM Education? A STEAMspired approach to STEAM!,STEAMspirations,2020-05-26T20:34:20Z,98193
C48oHf1TOcg,UgyEpUIrdNQB07yOjLJ4AaABAg,2023-09-01T18:17:24Z,0,This video is very educational and leaves a lot of teaching.,['Nada que ver 😂'],What is STEAM Education? A STEAMspired approach to STEAM!,STEAMspirations,2020-05-26T20:34:20Z,98193
C48oHf1TOcg,Ugz4gV2DsXYgxuy4Iyx4AaABAg,2022-05-19T05:51:18Z,1,i would like to get more information or lessons before i try to teach my students. i am in Uganda,,What is STEAM Education? A STEAMspired approach to STEAM!,STEAMspirations,2020-05-26T20:34:20Z,98193
C48oHf1TOcg,UgxLdBbXfFZDmpxHJSB4AaABAg,2022-04-04T04:49:18Z,1,This is great 👍,['Glad it helped!!!'],What is STEAM Education? A STEAMspired approach to STEAM!,STEAMspirations,2020-05-26T20:34:20Z,98193
C48oHf1TOcg,Ugx082Z1esiMlw8wPmN4AaABAg,2023-04-19T02:30:25Z,1,"There is no destination in life, It is all journey..........",,What is STEAM Education? A STEAMspired approach to STEAM!,STEAMspirations,2020-05-26T20:34:20Z,98193
C48oHf1TOcg,Ugwhat8bcIwzujz6bLV4AaABAg,2023-04-01T06:30:21Z,1,Arts is the oddball,,What is STEAM Education? A STEAMspired approach to STEAM!,STEAMspirations,2020-05-26T20:34:20Z,98193
C48oHf1TOcg,UgwCDRBEa8E5QfOIGeR4AaABAg,2023-07-20T13:45:22Z,0,🤙,,What is STEAM Education? A STEAMspired approach to STEAM!,STEAMspirations,2020-05-26T20:34:20Z,98193
